"ID","projectId","gatewayId","communicateId","type","device_time","receive_time","device_date","data_address","data"
"45827",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:00:00","2023-07-01 01:02:31","20230701",DE_RA,"0.0"
"45829",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:00:00","2023-07-01 01:02:31","20230701",DE_HS,"0.0"
"45824",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:00:00","2023-07-01 01:02:31","20230701",DE_WS,"2.6"
"45826",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:00:00","2023-07-01 01:02:31","20230701",DE_BT,"24.58"
"45828",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:00:00","2023-07-01 01:02:31","20230701",DE_RD,"0.0"
"55283",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:15:00","2023-07-01 01:17:32","20230701",DE_HS,"0.0"
"55278",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:15:00","2023-07-01 01:17:32","20230701",DE_WS,"1.3"
"55280",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:15:00","2023-07-01 01:17:32","20230701",DE_BT,"24.58"
"55282",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:15:00","2023-07-01 01:17:32","20230701",DE_RD,"0.0"
"55284",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:15:00","2023-07-01 01:17:32","20230701",DE_SS,"0.0"
"55277",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:15:00","2023-07-01 01:17:32","20230701",DE_ET,"25.09"
"55279",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:15:00","2023-07-01 01:17:32","20230701",DE_WD,"0.0"
"55281",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:15:00","2023-07-01 01:17:32","20230701",DE_RA,"0.0"
"64622",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:30:00","2023-07-01 01:32:32","20230701",DE_SS,"0.0"
"64615",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:30:00","2023-07-01 01:32:32","20230701",DE_ET,"25.15"
"64617",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:30:00","2023-07-01 01:32:32","20230701",DE_WD,"0.0"
"64619",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:30:00","2023-07-01 01:32:32","20230701",DE_RA,"0.0"
"64621",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:30:00","2023-07-01 01:32:32","20230701",DE_HS,"0.0"
"64616",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:30:00","2023-07-01 01:32:32","20230701",DE_WS,"0.6"
"64618",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:30:00","2023-07-01 01:32:32","20230701",DE_BT,"24.71"
"64620",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:30:00","2023-07-01 01:32:32","20230701",DE_RD,"0.0"
"74046",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:45:00","2023-07-01 01:47:32","20230701",DE_BT,"24.58"
"74048",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:45:00","2023-07-01 01:47:32","20230701",DE_RD,"0.0"
"74050",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:45:00","2023-07-01 01:47:32","20230701",DE_SS,"0.0"
"74043",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:45:00","2023-07-01 01:47:32","20230701",DE_ET,"25.16"
"74045",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:45:00","2023-07-01 01:47:32","20230701",DE_WD,"0.0"
"74047",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 01:45:00","2023-07-01 01:47:32","20230701",DE_RA,"0.0"
"83440",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:00:00","2023-07-01 02:02:32","20230701",DE_SS,"0.0"
"83433",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:00:00","2023-07-01 02:02:32","20230701",DE_ET,"25.25"
"83435",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:00:00","2023-07-01 02:02:32","20230701",DE_WD,"0.0"
"83437",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:00:00","2023-07-01 02:02:32","20230701",DE_RA,"0.0"
"83439",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:00:00","2023-07-01 02:02:32","20230701",DE_HS,"0.0"
"83434",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:00:00","2023-07-01 02:02:32","20230701",DE_WS,"0.6"
"83436",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:00:00","2023-07-01 02:02:32","20230701",DE_BT,"24.71"
"83438",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:00:00","2023-07-01 02:02:32","20230701",DE_RD,"0.0"
"92481",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:15:00","2023-07-01 02:17:33","20230701",DE_HS,"0.0"
"92476",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:15:00","2023-07-01 02:17:33","20230701",DE_WS,"1.3"
"92478",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:15:00","2023-07-01 02:17:33","20230701",DE_BT,"24.65"
"92480",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:15:00","2023-07-01 02:17:33","20230701",DE_RD,"0.0"
"92482",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:15:00","2023-07-01 02:17:33","20230701",DE_SS,"0.0"
"92475",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:15:00","2023-07-01 02:17:33","20230701",DE_ET,"25.25"
"92477",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:15:00","2023-07-01 02:17:33","20230701",DE_WD,"0.0"
"92479",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:15:00","2023-07-01 02:17:33","20230701",DE_RA,"0.0"
"101528",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:30:00","2023-07-01 02:32:33","20230701",DE_SS,"0.0"
"101521",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:30:00","2023-07-01 02:32:33","20230701",DE_ET,"25.26"
"101523",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:30:00","2023-07-01 02:32:33","20230701",DE_WD,"0.0"
"101525",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:30:00","2023-07-01 02:32:33","20230701",DE_RA,"0.0"
"101527",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:30:00","2023-07-01 02:32:33","20230701",DE_HS,"0.0"
"101522",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:30:00","2023-07-01 02:32:33","20230701",DE_WS,"0.6"
"101524",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:30:00","2023-07-01 02:32:33","20230701",DE_BT,"24.65"
"101526",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:30:00","2023-07-01 02:32:33","20230701",DE_RD,"0.0"
"111021",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:45:00","2023-07-01 02:47:33","20230701",DE_HS,"0.0"
"111016",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:45:00","2023-07-01 02:47:33","20230701",DE_WS,"1.3"
"111018",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:45:00","2023-07-01 02:47:33","20230701",DE_BT,"24.77"
"111020",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:45:00","2023-07-01 02:47:33","20230701",DE_RD,"0.0"
"111022",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:45:00","2023-07-01 02:47:33","20230701",DE_SS,"0.0"
"111015",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:45:00","2023-07-01 02:47:33","20230701",DE_ET,"25.25"
"111017",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:45:00","2023-07-01 02:47:33","20230701",DE_WD,"0.0"
"111019",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 02:45:00","2023-07-01 02:47:33","20230701",DE_RA,"0.0"
"120234",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:00:00","2023-07-01 03:02:33","20230701",DE_SS,"0.0"
"120227",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:00:00","2023-07-01 03:02:33","20230701",DE_ET,"25.14"
"120229",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:00:00","2023-07-01 03:02:33","20230701",DE_WD,"0.0"
"120231",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:00:00","2023-07-01 03:02:33","20230701",DE_RA,"0.0"
"120233",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:00:00","2023-07-01 03:02:33","20230701",DE_HS,"0.0"
"120228",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:00:00","2023-07-01 03:02:33","20230701",DE_WS,"1.3"
"120230",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:00:00","2023-07-01 03:02:33","20230701",DE_BT,"24.71"
"120232",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:00:00","2023-07-01 03:02:33","20230701",DE_RD,"0.0"
"129511",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:15:00","2023-07-01 03:17:33","20230701",DE_HS,"0.0"
"129506",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:15:00","2023-07-01 03:17:33","20230701",DE_WS,"2.6"
"129508",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:15:00","2023-07-01 03:17:33","20230701",DE_BT,"24.52"
"129510",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:15:00","2023-07-01 03:17:33","20230701",DE_RD,"0.0"
"129512",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:15:00","2023-07-01 03:17:33","20230701",DE_SS,"0.0"
"129505",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:15:00","2023-07-01 03:17:33","20230701",DE_ET,"25.04"
"129507",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:15:00","2023-07-01 03:17:33","20230701",DE_WD,"0.0"
"129509",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:15:00","2023-07-01 03:17:33","20230701",DE_RA,"0.0"
"138966",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:30:00","2023-07-01 03:32:33","20230701",DE_SS,"0.0"
"138959",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:30:00","2023-07-01 03:32:33","20230701",DE_ET,"25.16"
"138961",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:30:00","2023-07-01 03:32:33","20230701",DE_WD,"0.0"
"138963",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:30:00","2023-07-01 03:32:33","20230701",DE_RA,"0.0"
"138965",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:30:00","2023-07-01 03:32:33","20230701",DE_HS,"0.0"
"138960",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:30:00","2023-07-01 03:32:33","20230701",DE_WS,"0.6"
"138962",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:30:00","2023-07-01 03:32:33","20230701",DE_BT,"24.46"
"138964",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:30:00","2023-07-01 03:32:33","20230701",DE_RD,"0.0"
"148029",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:45:00","2023-07-01 03:47:33","20230701",DE_HS,"0.0"
"148024",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:45:00","2023-07-01 03:47:33","20230701",DE_WS,"1.3"
"148026",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:45:00","2023-07-01 03:47:33","20230701",DE_BT,"24.46"
"148028",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:45:00","2023-07-01 03:47:33","20230701",DE_RD,"0.0"
"148030",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:45:00","2023-07-01 03:47:33","20230701",DE_SS,"0.0"
"148023",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:45:00","2023-07-01 03:47:33","20230701",DE_ET,"25.25"
"148025",SW.SH.021.002,SW.SH.021.002,"10434","3007","2023-07-01 03:45:00","2023-07-01 03:47:33","20230701",DE_WD,"0.0"
