feature,importance
time_0,0.00012091798635083251
value_0,0.000189080681593623
is_weekday_0,9.637090079195332e-05
weather_cold_0,0.00022429068849305622
weather_warm_0,9.136442531598732e-05
weather_hot_0,0.0005930289589741733
month_0,0.0001626559314900078
time_1,0.0002356663426326122
value_1,0.0003033556786249392
is_weekday_1,0.00013742080773226917
weather_cold_1,0.0005025389327784069
weather_warm_1,0.00014917805310687982
weather_hot_1,0.001013772955047898
month_1,0.00020495656281127594
time_2,0.0003068967489525676
value_2,0.000453110427770298
is_weekday_2,0.00015180637637968175
weather_cold_2,0.0005606267441180535
weather_warm_2,0.00021281275985529646
weather_hot_2,0.0007891135901445523
month_2,0.00022593020912609063
time_3,0.00023455168047803454
value_3,0.00045949102786835283
is_weekday_3,0.00020577908435370773
weather_cold_3,0.0009585868829162791
weather_warm_3,0.00024131719328579493
weather_hot_3,0.0007006522573647089
month_3,0.00024071916777756996
time_4,0.00020620202121790498
value_4,0.00028934692818438634
is_weekday_4,0.00025600020671845414
weather_cold_4,0.0006937436482985504
weather_warm_4,0.00044375464858603664
weather_hot_4,0.001311360188992694
month_4,0.00023206054902402684
time_5,0.0003686630807351321
value_5,0.00042431581096025184
is_weekday_5,0.00018063397510559298
weather_cold_5,0.0006733488626196049
weather_warm_5,0.00022607009668718092
weather_hot_5,0.001455901816370897
month_5,0.0002784283715300262
time_6,0.0010684033040888608
value_6,0.00028686576115433127
is_weekday_6,0.00020728005983983167
weather_cold_6,0.00064742944232421
weather_warm_6,0.00043447527787066065
weather_hot_6,0.0014584316522814333
month_6,0.00026258535581291653
time_7,0.001463916152715683
value_7,0.0002904786160797812
is_weekday_7,0.0002810900186887011
weather_cold_7,0.001267129453481175
weather_warm_7,0.0002602898675831966
weather_hot_7,0.0014812462031841278
month_7,0.00024300226505147293
time_8,0.0014339160115923733
value_8,0.00034800160938175395
is_weekday_8,0.00021921154620940797
weather_cold_8,0.0014410274452529848
weather_warm_8,0.0005449253585538827
weather_hot_8,0.008924324240069836
month_8,0.000230158260819735
time_9,0.001222441642312333
value_9,0.00029060800443403423
is_weekday_9,0.00028068684332538396
weather_cold_9,0.000969038184848614
weather_warm_9,0.0004476630638237111
weather_hot_9,0.0016966687544481829
month_9,0.00047958019058569334
time_10,0.0007751989760436118
value_10,0.00028821446176152676
is_weekday_10,0.00027808751838165335
weather_cold_10,0.001248180225957185
weather_warm_10,0.0004596321887220256
weather_hot_10,0.0011109343759017065
month_10,0.0003876044793287292
time_11,0.00048414770571980625
value_11,0.0003026316189789213
is_weekday_11,0.00022318768969853409
weather_cold_11,0.000530527759110555
weather_warm_11,0.00048126551700988784
weather_hot_11,0.0006091398245189339
month_11,0.00038294737169053406
time_12,0.0004921520594507456
value_12,0.0003102232440141961
is_weekday_12,0.0002062535822915379
weather_cold_12,0.0013335806361283176
weather_warm_12,0.0004954000360157806
weather_hot_12,0.0016612785257166252
month_12,0.00033709001218085177
time_13,0.00030301073275040835
value_13,0.0003049093866138719
is_weekday_13,0.0002742768047028221
weather_cold_13,0.0009512038814136758
weather_warm_13,0.0003778588798013516
weather_hot_13,0.000638456032902468
month_13,0.00041537794459145516
time_14,0.0003348565296619199
value_14,0.0003107933298451826
is_weekday_14,0.000256842980888905
weather_cold_14,0.0020832291629631072
weather_warm_14,0.0004598773884936236
weather_hot_14,0.0007679258706048131
month_14,0.0002119372620654758
time_15,0.0003234384930692613
value_15,0.0003263048201915808
is_weekday_15,0.0001501092756370781
weather_cold_15,0.002916029712650925
weather_warm_15,0.0003800522936217021
weather_hot_15,0.0010270311177009717
month_15,0.0003340225375723094
time_16,0.00029910886951256543
value_16,0.000293641205644235
is_weekday_16,0.00021864664086024277
weather_cold_16,0.0026892119203694165
weather_warm_16,0.0004111631787964143
weather_hot_16,0.0010021637790487148
month_16,0.000469812672236003
time_17,0.0003389679768588394
value_17,0.0003114949358860031
is_weekday_17,0.00013423656673694495
weather_cold_17,0.0022172792814671993
weather_warm_17,0.00036226805968908593
weather_hot_17,0.0008350493080797605
month_17,0.0003969822355429642
time_18,0.00034309541661059484
value_18,0.00028896697040181607
is_weekday_18,0.0001881618081824854
weather_cold_18,0.0019467178644845262
weather_warm_18,0.00046267049037851393
weather_hot_18,0.0005074799337307923
month_18,0.0003414904495002702
time_19,0.00034590646100696176
value_19,0.0002975680326926522
is_weekday_19,0.00022319189520203508
weather_cold_19,0.004400275938678533
weather_warm_19,0.0005384402174968272
weather_hot_19,0.0009624780068406835
month_19,0.0005488010901899543
time_20,0.00039653571002418175
value_20,0.0003074052947340533
is_weekday_20,0.0002007669027079828
weather_cold_20,0.0018080765148624778
weather_warm_20,0.00043016040945076384
weather_hot_20,0.0007733425954938866
month_20,0.00031580179347656667
time_21,0.00035559904063120484
value_21,0.00030398162198252976
is_weekday_21,0.00018506561900721863
weather_cold_21,0.002919482081779279
weather_warm_21,0.00036050865674042143
weather_hot_21,0.0015219555862131529
month_21,0.00039002909034024924
time_22,0.0003400767018320039
value_22,0.00031998183840187266
is_weekday_22,0.000208336068681092
weather_cold_22,0.0024130447418428957
weather_warm_22,0.000488778023282066
weather_hot_22,0.0004505468314164318
month_22,0.0005153954407433048
time_23,0.00043823452870128676
value_23,0.00031066438532434404
is_weekday_23,0.00014753756840946153
weather_cold_23,0.0010154792689718306
weather_warm_23,0.0003347559832036495
weather_hot_23,0.0012743678598781116
month_23,0.0002610709816508461
time_24,0.0005272207345115021
value_24,0.00033191362308571115
is_weekday_24,0.0002336825527891051
weather_cold_24,0.0009578924327797722
weather_warm_24,0.0005673978303093463
weather_hot_24,0.0013020073674852028
month_24,0.00041960882663261145
time_25,0.00040644930413691327
value_25,0.00038603332359343767
is_weekday_25,0.00022959482157602906
weather_cold_25,0.0013524312671506777
weather_warm_25,0.00041617564056650735
weather_hot_25,0.0007856457959860563
month_25,0.0003741559194168076
time_26,0.0006514179985970259
value_26,0.0003171736461808905
is_weekday_26,0.00025566845215507783
weather_cold_26,0.0006436218136514071
weather_warm_26,0.0004763855831697583
weather_hot_26,0.0010973856769851409
month_26,0.0002995978902617935
time_27,0.0007133883336791769
value_27,0.00031071353441802785
is_weekday_27,0.0002840126799128484
weather_cold_27,0.0005003260303055868
weather_warm_27,0.00033436284138588235
weather_hot_27,0.0005601789962383918
month_27,0.00046706246939720586
time_28,0.00039567423664266244
value_28,0.0003145908558508381
is_weekday_28,0.0003644726202765014
weather_cold_28,0.0008007271972019225
weather_warm_28,0.0004641505584004335
weather_hot_28,0.0013265112065710127
month_28,0.0009504248664597981
time_29,0.0007770470110699534
value_29,0.0002857076106010936
is_weekday_29,0.0003270896340836771
weather_cold_29,0.0016255604059551843
weather_warm_29,0.0005534944721148349
weather_hot_29,0.0013134572800481692
month_29,0.00044067065755371004
time_30,0.0009856929682428017
value_30,0.0002851490062312223
is_weekday_30,0.00027671050702338107
weather_cold_30,0.0009107888872676995
weather_warm_30,0.0005122482252772897
weather_hot_30,0.0007269498310051858
month_30,0.0003887004713760689
time_31,0.0006582782225450501
value_31,0.00027335481718182564
is_weekday_31,0.00044472221634350717
weather_cold_31,0.00042059012776007876
weather_warm_31,0.0004257591281202622
weather_hot_31,0.0008793284905550536
month_31,0.00032321812977897935
time_32,0.000433108041761443
value_32,0.00028574357565958053
is_weekday_32,0.00034638203214854
weather_cold_32,0.0005113988117955159
weather_warm_32,0.0003842877486022189
weather_hot_32,0.0012881760485470295
month_32,0.00029612518119392917
time_33,0.0004891830394626595
value_33,0.00027920845604967326
is_weekday_33,0.00030092307133600116
weather_cold_33,0.0007641470292583108
weather_warm_33,0.00034046742803184316
