feature,importance
time_84,50.5
value_84,1907.5
is_weekday_84,51.5
weather_84,434.5
time_85,36.75
value_85,1889.25
is_weekday_85,23.5
weather_85,640.5
time_86,35.75
value_86,2286.5
is_weekday_86,16.5
weather_86,597.75
time_87,22.75
value_87,2704.75
is_weekday_87,3.5
weather_87,527.25
time_88,38.0
value_88,3135.25
is_weekday_88,3.25
weather_88,483.75
time_89,46.0
value_89,3593.0
is_weekday_89,4.0
weather_89,673.5
time_90,41.25
value_90,3688.5
is_weekday_90,3.5
weather_90,608.75
time_91,26.25
value_91,4298.0
is_weekday_91,6.25
weather_91,705.75
time_92,65.75
value_92,4218.25
is_weekday_92,9.5
weather_92,820.75
time_93,113.75
value_93,6508.25
is_weekday_93,4.5
weather_93,714.0
time_94,65.0
value_94,7426.5
is_weekday_94,8.25
weather_94,985.5
time_95,299.25
value_95,10022.0
is_weekday_95,70.5
weather_95,1275.5
